"house.num","DTXSID2021781","DTXSID3020205","DTXSID7021360","DTXSID8020462","DTXSID8020913"
112,0,0,1340.620616704,158163.755668512,0
113,0,0,20816.48,703160.2138197,1577.759268633
114,0,0,852401.4,0,1217.2886706
115,0,0,3042.032,0,0
116,0,0,108881.328,0,0
117,0,0,492147.28,0,0
118,0,0,1514860.92,0,0
119,77841.96821856,0,1367748.796,207368.04816,0
120,0,0,433913.370688042,116044.117637679,0
121,74543.202622504,0,0,0,0
122,123318.430491828,0,0,528.408784582,0
123,0,0,0,0,0
124,0,4079.856,0,0,676.959829092
125,0,0,894.590244606,0,0
126,0,0,389299.505881125,618719.81010476,0
127,93283.246924452,0,0,0,0
128,0,12164.00253432,586496.261701648,21098.672771904,0
129,0,0,1525849.78,693523.110408912,0
130,0,0,15529.0490616,6879.6,0
131,0,0,3124856.8,0,0
132,0,0,0,17784.11833764,0
133,0,0,56261.82,0,3521.6928768
134,0,0,0,0,1570.919705082
135,0,0,13316.000129272,2480.015429512,0
136,0,0,2237473.25143175,0,0
137,0,0,352927.4,0,0
138,0,0,552228,8962.8,0
139,0,0,86108.4,0,0
140,0,0,0,0,0
141,0,0,54695.592,96512.277377466,0
142,0,0,124640.94807548,16147.29,0
143,0,0,75419.2681343,0,0
144,0,0,900671.3151192,0,0
145,0,0,2694624.16,520.2155452,0
146,0,0,0,0,0
147,0,0,326528.608164103,891550.671912992,0
148,0,0,0,1091.5386,0
149,0,9769.32,0,0,0
150,0,0,103.7703552,373.59985,0
151,0,0,2807253.928,461718.789065248,0
152,0,0,0,0,0
153,0,0,131033.76,4947.908543305,0
154,0,0,158247.83273328,0,0
155,0,0,0,3855865.37713832,2298.77353104
156,0,0,807864.708,0,7421.721814848
157,0,0,0,89494.38775638,0
158,115956.745112016,0,0,0,0
159,0,0,484930.95582,459567.148792192,0
160,0,0,0,39044.198294508,0
161,0,0,353514.84,0,0
162,0,0,863672.836,0,4162.158055008
163,0,0,1446652.52243715,0,0
164,0,0,801798.46,325591.513125424,0
165,0,0,0,0,0
166,0,0,194567.31,0,0
167,0,0,0,0,0
168,0,0,699082.992,5586,0
169,0,0,0,4140.373929916,0
170,0,0,0,0,0
171,0,0,693.199301004,0,0
172,0,0,0,25719.479334488,0
173,0,0,146574.856,285.575644926,0
174,0,0,714884.976,220969.567925712,0
175,0,0,702909.092,0,0
176,0,0,0,0,0
177,0,12018.805320627,9211.613738439,0,0
178,0,0,156109.78,163595.303785419,0
179,0,0,123893.700354816,0,0
180,0,0,1055067.75,0,0
181,0,0,145598.97,0,1546.326
182,0,0,1046923.1233776,0,0
183,0,0,0,0,0
184,0,0,2575850.83703046,0,3075.47247741
185,0,0,516235.256,0,0
186,0,0,0,3271275.0921993,0
187,0,0,1479168.307689,416311.253228304,0
188,0,0,160347,0,0
189,0,0,32369.081129649,33998.9397783,0
190,0,0,0,0,0
191,0,0,0,0,0
192,0,0,492085.9622829,2444093.10356921,0
193,145929.712689288,0,0,0,0
194,0,0,0,18539.15,2870.154958829
195,0,0,0,85829.228398008,926.720865752
196,0,0,478252.72,75574.841076239,0
197,0,0,0,2369690.65851008,0
198,0,0,128.91975,55272.18445875,0
199,0,0,16763.1385947,0,0
200,409925.74495599,0,311511.843629697,0,0
201,71071.50129992,0,410151.461177126,0,0
202,0,0,2974.188,0,0
203,0,0,0,769150.937754836,1429.02960588
204,0,0,68708.932902435,0,0
205,0,0,97479.682036936,1105790.87313509,0
206,0,14109.588289566,183439.41987183,0,0
207,0,0,0,0,0
208,0,0,164706.751013388,0,0
209,0,0,209708.576,0,0
210,0,0,0,559139.789071136,0
211,165945.84237969,0,0,262261.075044483,3364.978443064
212,0,0,644724.96,0,0
213,0,0,0,0,0
214,0,0,0,0,0
215,0,8874.8108308,2848021.39617816,862036.706994372,0
216,0,0,86241.6,0,0
217,0,0,1449695.184,4576.225291,0
218,0,0,0,35991.850457664,0
219,0,0,16905.9358107,0,0
220,0,0,0,63722.098134981,0
221,0,0,0,551569.427188052,0
222,0,0,1199955.8,0,0
223,0,0,3182222.684,1050.099189867,0
