"household","dtxsid","total.used","dir.derm.exp","dir.derm.max","dir.derm.abs","dir.inhal.exp","dir.inhal.max","dir.inhal.mass","dir.inhal.abs","dir.ingest.exp","dir.ingest.abs","dir.release","ind.derm.exp","ind.derm.pr.exp","ind.derm.ar.exp","ind.derm.max","ind.derm.abs","ind.inhal.exp","ind.inhal.pr.exp","ind.inhal.ar.exp","ind.inhal.amb.in","ind.inhal.amb.out","ind.inhal.max","ind.inhal.mass","ind.inhal.abs","ind.ingest.exp","ind.ingest.abs","out.sur","out.air","drain","waste","food.ing","food.abs"
178,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,"DTXSID7021360",156109.78,0.135374725274725,0.000258022716244952,9.03326823090205e-05,0.0264549438401891,5.2741408182019,1.33332916954553,0.213332667127285,0,0,27.0749450549451,0.0114538437663178,0.0114538437663178,0,2.51262851444138e-06,7.64290340852943e-06,0.00783711853637485,0.00783711853637485,0,0,0,0.0727003524719765,0.201113400568159,0.0321781440909054,5.3229512833246e-09,5.32131939421196e-09,1.85201415561196e-06,417.905095101116,0,4.45969793429121,0,0
178,"DTXSID8020462",163595.303785419,0,0,0,0.00219610745248303,0.225322032887464,0.0197649670723472,0.00316239473157556,0.0592949012170417,0.0473657012833416,449.43764776214,0.19611136468531,0.19611136468531,0,3.98539697551811e-05,0.0366662283189694,0.00129639496143549,0.00129639496143549,0,0,0,0.00394615654464686,0.0274233886071649,0.00438774217714638,0.0167954476235287,0.0134164681739521,0,4.54158439083948,438.940589974375,4.52218768647811,0,0
178,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"DTXSID7021360",123893.700354816,0,0,0,0,0,0,0,0,0,0,0.0466381099558063,0.0466381099558063,0,1.25785171088868e-05,3.12719277537251e-05,0.0867106859733197,0.0867106859733197,0,0,0,0.810362515651317,1.44159847314983,0.230655755703974,6.12488315719349e-09,6.12300541501469e-09,0,263.978704519513,0,3.42360358306628,0,0
179,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,"DTXSID7021360",1055067.75,0,0,0,1.37682561801141,32.7783105170855,69.3920111477752,11.102721783644,0,0,1308.66593406593,0.591715651217099,0.591715651217099,0,0.000147905550471976,0.000396486841710008,0.72912114813982,0.72912114813982,0,0,0,5.27877709339844,17.5937619013015,2.81500190420824,1.86018727575304e-07,1.85961698697879e-07,0,2397.80091902634,0,31.6303009867747,0,0
180,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,"DTXSID7021360",145598.97,1.1682407967033,0.00178514858578274,0.000778557944709062,0.243381877317468,3.95024744239982,12.2664466168004,1.96263145868806,0,0,233.648159340659,0.0470990884218391,0.0470990884218391,0,7.74490201270207e-06,3.13885366910314e-05,0.033629386607888,0.033629386607888,0,0,0,0.421315626026886,0.876117322167229,0.140178771546757,4.68584895951279e-10,4.68441239068218e-10,0,261.369153633808,0,4.03044726524523,0,0
181,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,"DTXSID8020913",1546.326,0.0212407417582418,3.24572470142317e-05,9.21287503406016e-05,0.000700788797379158,0.0113742616542418,0.0353197553879096,0.00565116086206553,0,0,4.24814835164835,0.0783070946100931,0.0783070946100931,0,8.93834005457697e-06,0.000339646060335714,0.000473812207159035,0.000473812207159035,0,0,0,0.0010077102855406,0.01066261580992,0.00170601852958719,5.51267406383091e-09,5.51108926926569e-09,0,3.3756847150659,0,0.422336821771052,0,0
182,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"DTXSID7021360",1046923.1233776,0,0,0,0,0,0,0,0,0,0,0.839567894745166,0.839567894745166,0,0.000167146804080673,0.000561498851934133,1.08832439057683,1.08832439057683,0,0,0,6.81642064442541,24.8435265872273,3.97496425395637,7.27061953903752e-08,7.26839054158172e-08,0,2385.25823280929,0,39.0925660921754,0,0
182,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,"DTXSID7021360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,"DTXSID7021360",2575850.83703046,33.31224,0.0625692997269278,0.0223882988085358,6.92071934700954,649.409348344438,348.804255089281,55.808680814285,0,0,6662.448,0.529194965123222,0.529194965123222,0,0.000110528384139267,0.000355658296165401,0.470469243634416,0.470469243634416,0,0,0,5.84336653100883,11.4803388594926,1.83685421751881,2.1718090569171e-08,2.17114323238366e-08,0,4731.49270001362,0,73.1235416183879,0,0
184,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,"DTXSID8020913",3075.47247741,0.0422455010633242,7.93483541828882e-05,0.0001859085896189,0.000577099883141,0.029920927188127,0.01731299649423,0.0027700794390768,0,0,8.44910021266483,0.108605680465649,0.108605680465649,0,2.0106019043021e-05,0.000477937826746566,0.000702728266617831,0.000702728266617831,0,0,0,0.00152886027095977,0.0163099415868778,0.00260959065390046,3.17306244445753e-08,3.17215024611987e-08,0,5.62086276403488,0,0.901352548504917,0,0
185,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,"DTXSID7021360",516235.256,6.32917032967033,0.0127601449945203,0.00427057150760761,1.4718101638838,145.587639956619,74.1792322597436,11.868677161559,0,0,1418.22872527473,0.17600804929856,0.17600804929856,0,5.57602118488316e-05,0.000118760400899073,0.413013820682909,0.413013820682909,0,0,0,3.5936704100608,9.65596270788694,1.54495403326191,3.62166687323285e-08,3.62055655708952e-08,0,1092.97729080163,0,14.9653556430311,0,0
185,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
