"daynum","ind.derm.exp1","ind.derm.exp2","ind.derm.exp3","ind.derm.exp4","ind.derm.exp5","ind.derm.pr.exp1","ind.derm.pr.exp2","ind.derm.pr.exp3","ind.derm.pr.exp4","ind.derm.pr.exp5","ind.derm.ar.exp1","ind.derm.ar.exp2","ind.derm.ar.exp3","ind.derm.ar.exp4","ind.derm.ar.exp5","ind.derm.max1","ind.derm.max2","ind.derm.max3","ind.derm.max4","ind.derm.max5","ind.derm.abs1","ind.derm.abs2","ind.derm.abs3","ind.derm.abs4","ind.derm.abs5","ind.inhal.exp1","ind.inhal.exp2","ind.inhal.exp3","ind.inhal.exp4","ind.inhal.exp5","ind.inhal.pr.exp1","ind.inhal.pr.exp2","ind.inhal.pr.exp3","ind.inhal.pr.exp4","ind.inhal.pr.exp5","ind.inhal.ar.exp1","ind.inhal.ar.exp2","ind.inhal.ar.exp3","ind.inhal.ar.exp4","ind.inhal.ar.exp5","ind.inhal.amb.in1","ind.inhal.amb.in2","ind.inhal.amb.in3","ind.inhal.amb.in4","ind.inhal.amb.in5","ind.inhal.amb.out1","ind.inhal.amb.out2","ind.inhal.amb.out3","ind.inhal.amb.out4","ind.inhal.amb.out5","ind.inhal.max1","ind.inhal.max2","ind.inhal.max3","ind.inhal.max4","ind.inhal.max5","ind.inhal.mass1","ind.inhal.mass2","ind.inhal.mass3","ind.inhal.mass4","ind.inhal.mass5","ind.inhal.abs1","ind.inhal.abs2","ind.inhal.abs3","ind.inhal.abs4","ind.inhal.abs5","ind.ingest.exp1","ind.ingest.exp2","ind.ingest.exp3","ind.ingest.exp4","ind.ingest.exp5","ind.ingest.abs1","ind.ingest.abs2","ind.ingest.abs3","ind.ingest.abs4","ind.ingest.abs5"
21,0,0,0,8.9326247866552e-05,0,0,0,0,8.9326247866552e-05,0,0,0,0,0,0,0,0,0,1.48140574932516e-08,0,0,0,0,3.63397202594072e-05,0,0,0,0,5.89399667642879e-07,0,0,0,0,5.89399667642879e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42219677319018e-06,0,0,0,0,1.40539071254736e-05,0,0,0,0,2.24862514007577e-06,0,0,0,0,1.99349815589811e-05,0,0,0,0,1.59243773449486e-05,0
22,0,0,0,0.00011716753711179,0,0,0,0,0.00011716753711179,0,0,0,0,0,0,0,0,0,1.53849486315723e-08,0,0,0,0,4.76661185689464e-05,0,0,0,0,5.98623722687055e-07,0,0,0,0,5.98623722687055e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43145048324112e-06,0,0,0,0,1.46536552040458e-05,0,0,0,0,2.34458483264733e-06,0,0,0,0,2.61483354268301e-05,0,0,0,0,2.08877023059766e-05,0
23,0,0,0,0.000105382115582397,0,0,0,0,0.000105382115582397,0,0,0,0,0,0,0,0,0,1.57188992275864e-08,0,0,0,0,4.28715712578677e-05,0,0,0,0,6.03512608969377e-07,0,0,0,0,6.03512608969377e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4367131541962e-06,0,0,0,0,1.45228013395667e-05,0,0,0,0,2.32364821433067e-06,0,0,0,0,2.35181772542373e-05,0,0,0,0,1.87866905195674e-05,0
24,0,0,0,0.000118680368824523,0,0,0,0,0.000118680368824523,0,0,0,0,0,0,0,0,0,1.62887314239377e-08,0,0,0,0,4.82815690390301e-05,0,0,0,0,6.09259740761278e-07,0,0,0,0,6.09259740761278e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44592920383787e-06,0,0,0,0,1.47919062269401e-05,0,0,0,0,2.36670499631042e-06,0,0,0,0,2.64859548054055e-05,0,0,0,0,2.11573979847759e-05,0
25,0,0,0,0.000120806741381775,0,0,0,0,0.000120806741381775,0,0,0,0,0,0,0,0,0,1.66058771041553e-08,0,0,0,0,4.91466203060805e-05,0,0,0,0,6.19494130722054e-07,0,0,0,0,6.19494130722054e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45094294523214e-06,0,0,0,0,1.50044771671059e-05,0,0,0,0,2.40071634673695e-06,0,0,0,0,2.69604983883809e-05,0,0,0,0,2.15364708752908e-05,0
26,0,0,0,0.000113954298943654,0,0,0,0,0.000113954298943654,0,0,0,0,0,0,0,0,0,1.70198382407608e-08,0,0,0,0,4.63589084381532e-05,0,0,0,0,6.22639805529943e-07,0,0,0,0,6.22639805529943e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45758412606258e-06,0,0,0,0,1.49132557644196e-05,0,0,0,0,2.38612092230713e-06,0,0,0,0,2.54312355244353e-05,0,0,0,0,2.03148716060346e-05,0
27,0,0,0,0.000115697517039528,0,0,0,0,0.000115697517039528,0,0,0,0,0,0,0,0,0,1.73964075069121e-08,0,0,0,0,4.70680847381564e-05,0,0,0,0,6.28387889030306e-07,0,0,0,0,6.28387889030306e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46362542890615e-06,0,0,0,0,1.50156788482835e-05,0,0,0,0,2.40250861572536e-06,0,0,0,0,2.58202703425823e-05,0,0,0,0,2.0625638748014e-05,0
28,0,0,0,0.000127549023666263,0,0,0,0,0.000127549023666263,0,0,0,0,0,0,0,0,0,1.7807768386775e-08,0,0,0,0,5.1889516800449e-05,0,0,0,0,6.11569012328169e-07,0,0,0,0,6.11569012328169e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46958364519287e-06,0,0,0,0,1.46761663436018e-05,0,0,0,0,2.34818661497628e-06,0,0,0,0,2.84651767580301e-05,0,0,0,0,2.27384316631742e-05,0
29,0,0,0,0.000109616555592783,0,0,0,0,0.000109616555592783,0,0,0,0,0,0,0,0,0,1.81812718905244e-08,0,0,0,0,4.45942269062114e-05,0,0,0,0,6.43206955894285e-07,0,0,0,0,6.43206955894285e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47621701260332e-06,0,0,0,0,1.50792649931133e-05,0,0,0,0,2.41268239889813e-06,0,0,0,0,2.44631792613267e-05,0,0,0,0,1.9541573011337e-05,0
30,0,0,0,0.000129074989587196,0,0,0,0,0.000129074989587196,0,0,0,0,0,0,0,0,0,1.85422026534249e-08,0,0,0,0,5.25103105314801e-05,0,0,0,0,6.47549156645451e-07,0,0,0,0,6.47549156645451e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48200742685174e-06,0,0,0,0,1.54966626768849e-05,0,0,0,0,2.47946602830158e-06,0,0,0,0,2.88057273041458e-05,0,0,0,0,2.30104688047854e-05,0
