"inhal1","dermal1","ingest1","inhal2","dermal2","ingest2","inhal3","dermal3","ingest3","inhal4","dermal4","ingest4","inhal5","dermal5","ingest5","daynum","source.id"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,"HM.0400.010.099.F"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,"HM.0400.010.099.F"
