"daynum","ind.derm.exp1","ind.derm.exp2","ind.derm.exp3","ind.derm.exp4","ind.derm.exp5","ind.derm.pr.exp1","ind.derm.pr.exp2","ind.derm.pr.exp3","ind.derm.pr.exp4","ind.derm.pr.exp5","ind.derm.ar.exp1","ind.derm.ar.exp2","ind.derm.ar.exp3","ind.derm.ar.exp4","ind.derm.ar.exp5","ind.derm.max1","ind.derm.max2","ind.derm.max3","ind.derm.max4","ind.derm.max5","ind.derm.abs1","ind.derm.abs2","ind.derm.abs3","ind.derm.abs4","ind.derm.abs5","ind.inhal.exp1","ind.inhal.exp2","ind.inhal.exp3","ind.inhal.exp4","ind.inhal.exp5","ind.inhal.pr.exp1","ind.inhal.pr.exp2","ind.inhal.pr.exp3","ind.inhal.pr.exp4","ind.inhal.pr.exp5","ind.inhal.ar.exp1","ind.inhal.ar.exp2","ind.inhal.ar.exp3","ind.inhal.ar.exp4","ind.inhal.ar.exp5","ind.inhal.amb.in1","ind.inhal.amb.in2","ind.inhal.amb.in3","ind.inhal.amb.in4","ind.inhal.amb.in5","ind.inhal.amb.out1","ind.inhal.amb.out2","ind.inhal.amb.out3","ind.inhal.amb.out4","ind.inhal.amb.out5","ind.inhal.max1","ind.inhal.max2","ind.inhal.max3","ind.inhal.max4","ind.inhal.max5","ind.inhal.mass1","ind.inhal.mass2","ind.inhal.mass3","ind.inhal.mass4","ind.inhal.mass5","ind.inhal.abs1","ind.inhal.abs2","ind.inhal.abs3","ind.inhal.abs4","ind.inhal.abs5","ind.ingest.exp1","ind.ingest.exp2","ind.ingest.exp3","ind.ingest.exp4","ind.ingest.exp5","ind.ingest.abs1","ind.ingest.abs2","ind.ingest.abs3","ind.ingest.abs4","ind.ingest.abs5"
77,0,0,0.00250692790898591,0,0,0,0,0.00250692790898591,0,0,0,0,0,0,0,0,0,3.20725046173803e-07,0,0,0,0,1.67519233846098e-06,0,0,0,0,0.000229428313401344,0,0,0,0,0.000229428313401344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000284522317731453,0,0,0,0,0.00533662814470746,0,0,0,0,0.000853860503153193,0,0,0,0,2.80955417010817e-10,0,0,0,0,2.80869282822891e-10,0,0
78,0,0,0.00156521415569572,0,0,0,0,0.00156521415569572,0,0,0,0,0,0,0,0,0,2.13623164060762e-07,0,0,0,0,1.04591550170775e-06,0,0,0,0,0.000151530128670203,0,0,0,0,0.000151530128670203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189509857383439,0,0,0,0,0.00343146581970508,0,0,0,0,0.000549034531152812,0,0,0,0,1.75416051753404e-10,0,0,0,0,1.75362273401922e-10,0,0
79,0,0,0.00085165301739819,0,0,0,0,0.00085165301739819,0,0,0,0,0,0,0,0,0,1.22174933233088e-07,0,0,0,0,5.69095985831416e-07,0,0,0,0,0.000100700829175664,0,0,0,0,0.000100700829175664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125472078126353,0,0,0,0,0.00208605572498578,0,0,0,0,0.000333768915997725,0,0,0,0,9.54461146624755e-11,0,0,0,0,9.54168531744267e-11,0,0
80,0,0,0.000667707558077876,0,0,0,0,0.000667707558077876,0,0,0,0,0,0,0,0,0,9.47718322879885e-08,0,0,0,0,4.46178999250527e-07,0,0,0,0,6.77973346665695e-05,0,0,0,0,6.77973346665695e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.40741990683905e-05,0,0,0,0,0.00150162715021422,0,0,0,0,0.000240260344034275,0,0,0,0,7.48310530783988e-11,0,0,0,0,7.48081116734702e-11,0,0
81,0,0,0.000415138599502313,0,0,0,0,0.000415138599502313,0,0,0,0,0,0,0,0,0,5.51272802204154e-08,0,0,0,0,2.77406062931827e-07,0,0,0,0,4.52349498525268e-05,0,0,0,0,4.52349498525268e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5692319026197e-05,0,0,0,0,0.000970655518770588,0,0,0,0,0.000155304883003294,0,0,0,0,4.65252462675082e-11,0,0,0,0,4.65109827436085e-11,0,0
82,0,0,0.000299562236116081,0,0,0,0,0.000299562236116081,0,0,0,0,0,0,0,0,0,4.20445986497415e-08,0,0,0,0,2.00175027385169e-07,0,0,0,0,2.98438918799304e-05,0,0,0,0,2.98438918799304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72986980550018e-05,0,0,0,0,0.000666804634516301,0,0,0,0,0.000106688741522608,0,0,0,0,3.35724185234875e-11,0,0,0,0,3.35621260257062e-11,0,0
83,0,0,0.000216106757712217,0,0,0,0,0.000216106757712217,0,0,0,0,0,0,0,0,0,2.80043616872858e-08,0,0,0,0,1.44407975798392e-07,0,0,0,0,2.01437753178279e-05,0,0,0,0,2.01437753178279e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48432917507123e-05,0,0,0,0,0.000464459278098586,0,0,0,0,7.43134844957738e-05,0,0,0,0,2.42194296909209e-11,0,0,0,0,2.4212004595044e-11,0,0
84,0,0,0.000125599379670536,0,0,0,0,0.000125599379670536,0,0,0,0,0,0,0,0,0,1.62896955441109e-08,0,0,0,0,8.39286673483346e-08,0,0,0,0,1.3407428404379e-05,0,0,0,0,1.3407428404379e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64780613690447e-05,0,0,0,0,0.000290323533162095,0,0,0,0,4.64517653059352e-05,0,0,0,0,1.40761231965022e-11,0,0,0,0,1.40718077949571e-11,0,0
85,0,0,8.33951648564183e-05,0,0,0,0,8.33951648564183e-05,0,0,0,0,0,0,0,0,0,1.08499674260977e-08,0,0,0,0,5.57267485560343e-08,0,0,0,0,8.88669292331761e-06,0,0,0,0,8.88669292331761e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09984574763278e-05,0,0,0,0,0.000192573688888216,0,0,0,0,3.08117902221145e-05,0,0,0,0,9.34622939691902e-12,0,0,0,0,9.34336406729543e-12,0,0
86,0,0,5.71286512391335e-05,0,0,0,0,5.71286512391335e-05,0,0,0,0,0,0,0,0,0,8.27507767423125e-09,0,0,0,0,3.81748029208861e-08,0,0,0,0,5.90041350139178e-06,0,0,0,0,5.90041350139178e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34100534825143e-06,0,0,0,0,0.000129674627891339,0,0,0,0,2.07479404626142e-05,0,0,0,0,6.40249924005553e-12,0,0,0,0,6.40053638744851e-12,0,0
