house.num,DTXSID2021781,DTXSID3020205,DTXSID7021360,DTXSID8020462,DTXSID8020913
72,0,0,0,0,0
73,0,0,227459.679270423,0,0
74,0,0,165.592148,0,0
75,0,0,0,0,0
76,0,0,0,0,3930.431425128
77,0,0,0,22033.341281184,4887.4532616
78,0,0,516548.623054663,0,0
79,0,0,1375696.799856,991017.950991432,1529.764315287
80,0,0,2060414.89042062,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,22159.573401438,108180.259634208,4067473.2341698,0
84,0,0,2072471.92,0,0
85,0,0,0,0,0
86,111789.161876,20664.0314089,76914.9269013,0,0
87,0,0,214017.234,364.18337956,0
88,0,0,50.9091436,0,0
89,0,0,0,35913.8614212,0
90,0,0,0,0,2310.284402965
90,0,0,0,0,2310.284402965
91,0,0,0,407671.095736968,0
92,0,0,162434.8,0,0
93,0,0,65704.381720362,0,0
94,0,0,0,90.2635552,0
95,0,0,978723.4,225.62657208,0
96,0,15902.461935576,648310.204230784,0,5720.402
97,0,0,0,1764.23688,2253.489266922
98,0,0,383061.2,0,0
99,0,0,632802.14,3355549.9825638,0
100,0,0,1816367.99358753,206132.505234264,17501.28
101,0,0,759121.476,0,0
102,0,0,594282.5,0,0
103,0,0,0,215598.06227817,3241.04653092
104,0,0,401262.039,0,0
105,0,0,0,0,0
106,0,0,286614.25,0,0
107,0,0,2245519.224,1160133.08295229,54304.07546996
108,0,0,0,6870.572837856,0
109,0,0,29141.64,0,0
110,0,0,268686,0,0
111,0,0,864732.8,33684.537336296,0
112,0,0,202699.38378704,9172.8,3009.435997232
113,0,0,106946.848,20221.20542988,0
114,0,0,1472204.202,0,0
115,0,0,1742940.4317978,0,0
116,0,0,808938.06,0,0
117,0,0,268874.752140723,3504.98083392,0
118,0,0,54576.36634912,0,3356.548219875
119,0,0,0,0,0
120,0,0,995876.8,0,0
121,0,0,1002881,0,0
122,0,3988.8,1195669.66,0,0
123,0,0,0,2784.6,0
124,0,0,0,1709725.66559309,0
125,0,0,184.143762,0,3844.54875456
126,0,0,0,0,0
127,0,9778.591732896,10166.547755088,0,0
128,0,0,559058.261280126,0,0
129,0,0,502625,0,0
130,0,4114.921162356,871481.945814098,0,0
131,0,0,482768.16,0,0
132,0,0,225675.28,0,0
133,0,0,755314.332,0,0
134,0,0,44036.16,0,0
135,0,0,0,908833.211558272,0
136,74726.139016044,0,800228.50796177,0,0
137,0,0,426626.52,0,0
138,0,0,0,0,0
139,0,0,78742.192,3215865.7252671,3231.220745725
140,0,0,179926.372,0,0
141,0,0,899317.53,4262.090127932,2683.25990478
142,0,0,1269090.068,2576000.89605477,2208.458667096
143,0,0,647559.8877232,0,3481.929225495
144,0,0,1025296.5732464,0,0
145,0,0,62931.96,2888.905268322,0
146,0,0,136.395072,2526736.17874168,0
147,0,0,172036.512,227577.6,1896.48
148,0,0,1021402.008,15062.7,0
149,0,0,236878.4,0,0
150,0,0,2182810.9554314,0,0
151,0,0,200211.6,0,0
152,0,0,0,0,0
153,0,0,737336.832,0,0
154,0,0,0,339653.407194816,0
155,0,0,0,0,0
156,0,0,301264.48682768,127333.5,0
157,0,0,1370712.81514336,0,0
158,0,0,0,0,0
159,0,0,209402.367967326,0,2240.29822746
160,0,0,0,0,0
161,0,0,485665.5235656,0,0
162,0,0,933216.44985406,0,0
163,115009.788497076,0,0,5648.705627565,0
164,0,0,0,1020.055248,0
165,0,0,253212,3443.516622,1387.8581563
166,0,0,0,1094636.13058509,0
167,0,0,242310.52,0,0
168,0,0,68.7409272,0,0
169,0,0,1715982.06,0,0
170,0,0,1382955.392,0,0
171,0,0,568939.620431214,0,0
172,0,0,623575.364957293,1093810.87465288,2984.72074992
173,0,0,20596.36,0,0
174,0,0,1166653.08,2532.912695404,0
175,0,0,1037554.0068132,0,0
176,0,0,0,0,492.69563144
177,0,0,84556.48,0,0
178,0,0,0,0,0
179,0,0,0,0,0
180,0,0,0,0,0
181,168971.262239712,0,0,0,0
182,0,0,0,0,0
183,95809.141787229,0,0,156299.776586785,1877.524886265
184,0,0,1431650.13301654,355044.208588069,1480.927755072
