"house.num","DTXSID2021781","DTXSID3020205","DTXSID7021360","DTXSID8020462","DTXSID8020913"
622,0,0,354250.83,0,0
624,0,0,2780.736,0,0
628,0,0,802945.85,0,0
631,0,0,1167532.824,0,0
633,0,0,1063745.352,0,0
634,0,0,1384975.11257486,0,0
635,0,0,681049.72,0,0
636,0,0,1407007.472,0,0
637,0,0,0,0,0
640,0,0,0,0,0
641,0,0,122036.02065068,0,0
644,0,0,0,0,0
645,0,0,1264276.4456403,0,0
646,0,0,0,0,0
647,0,0,0,0,0
649,0,0,0,0,0
651,0,0,211719.14,0,0
652,0,0,60689.22,0,0
654,0,0,0,0,0
656,0,0,217417.32,0,0
657,0,0,0,0,0
658,0,0,2280909.56552772,0,0
659,0,0,251399.75,0,0
660,0,0,164461.76,0,0
661,0,0,0,0,0
662,0,0,1101114.072,0,0
663,0,0,159472.96,0,0
667,0,0,2749210.254,0,0
668,0,0,570053.85,0,0
669,0,0,0,0,0
670,0,0,0,0,0
671,0,0,417893.543817478,0,0
672,0,0,0,0,0
674,0,0,169166.52,0,0
676,0,0,80838.135372891,0,0
679,0,0,71852.50243017,0,0
680,0,0,697611.576,0,0
681,0,0,3261.244,0,0
684,0,0,56025.504,0,0
686,0,0,0,0,0
687,0,0,60433.728,0,0
688,0,0,392443.95,0,0
689,0,0,1101580.668,0,0
690,0,0,0,0,0
691,0,0,706431.52,0,0
693,0,0,225718.984,0,0
695,0,0,0,0,0
696,0,8953.2,744883.17800837,0,0
697,0,0,1016331.28391028,0,0
698,0,0,1023679.27314372,0,0
700,0,0,0,0,0
701,0,0,1805259.852,0,0
703,0,0,182322.562437392,627.99474598,0
705,0,0,502903.5,0,0
706,0,0,352142.88,0,0
707,0,0,564374,2004.67879791,0
708,0,0,249254.75,0,0
709,0,0,0,0,0
710,0,0,0,0,0
711,0,0,0,0,0
712,0,0,3033.044,0,0
713,0,0,472292.408,0,0
714,0,0,1079714.38,0,0
715,0,0,0,0,0
716,0,0,0,0,0
717,0,0,0,0,0
718,0,0,6582.8,0,0
720,0,10241.4,0,0,0
721,0,0,711378.24,0,0
722,0,0,962481.68,0,0
723,0,0,0,0,0
725,0,0,0,0,0
726,0,0,1358221.904,0,0
728,0,0,740256,0,0
729,0,0,0,0,0
731,0,0,349138.62,0,0
733,0,0,1519663,0,0
734,0,0,0,0,0
